Year,Month, Domestic Debt , External Debt, Total 
1999,Sep,183417.00,320137.00,503554.00
1999,Dec,190300.00,311953.00,502253.00
2000,Mar,201463.22,396800.00,598263.22
2000,Jun,206127.00,395694.00,601821.00
2000,Jul,202362.00,394667.37,597029.37
2000,Aug,196584.00,395710.06,592294.06
2000,Sep,195520.00,399798.72,595318.72
2000,Oct,195564.00,400203.03,595767.03
2000,Nov,195906.00,400714.45,596620.45
2000,Dec,192665.30,405355.31,598020.61
2001,Jan,193332.95,403645.68,596978.63
2001,Feb,199537.27,402555.40,602092.67
2001,Mar,200622.58,403373.54,603996.12
2001,Apr,210581.44,402308.31,612889.75
2001,May,202880.88,408100.64,610981.52
2001,Jun,211812.60,393978.00,605790.60
2001,Jul,205012.00,393491.36,598503.36
2001,Aug,214767.00,392335.83,607102.83
2001,Sep,219165.00,392052.74,611217.74
2001,Oct,225952.00,389276.05,615228.05
2001,Nov,217524.00,386971.92,604495.92
2001,Dec,221984.00,384302.58,606286.58
2002,Jan,222711.00,382302.84,605013.84
2002,Feb,227581.00,381497.47,609078.47
2002,Mar,229167.00,380169.06,609336.06
2002,Apr,233149.00,378475.98,611624.98
2002,May,231773.00,378594.34,610367.34
2002,Jun,235991.00,377748.00,613739.00
2002,Jul,242102.05,376712.94,618814.99
2002,Aug,247168.98,376868.51,624037.49
2002,Sep,250808.60,375034.19,625842.79
2002,Oct,251196.67,373140.09,624336.76
2002,Nov,255192.66,371334.71,626527.37
2002,Dec,259828.23,369729.83,629558.06
2003,Jan,263986.33,369051.09,633037.42
2003,Feb,264193.21,367469.40,631662.61
2003,Mar,270716.28,364904.26,635620.54
2003,Apr,276083.44,363605.43,639688.88
2003,May,280928.98,361731.20,642660.18
2003,Jun,289376.97,407053.00,696429.97
2003,Jul,292277.47,398532.85,690810.32
2003,Aug,295494.51,397991.28,693485.79
2003,Sep,303252.05,411067.00,714319.05
2003,Oct,301918.96,409359.85,711278.82
2003,Nov,303548.41,406592.25,710140.65
2003,Dec,301190.58,410149.00,711339.58
2004,Jan,299701.26,409158.26,708859.52
2004,Feb,300907.92,407417.62,708325.54
2004,Mar,302023.58,412036.08,714059.66
2004,Apr,301177.37,409950.33,711127.70
2004,May,299347.29,408547.54,707894.83
2004,Jun,306234.66,443157.43,749392.09
2004,Jul,303462.12,444611.00,748073.12
2004,Aug,301678.34,444460.66,746138.99
2004,Sep,299745.58,454438.56,754184.14
2004,Oct,301541.30,454539.95,756081.25
2004,Nov,302543.91,454664.42,757208.33
2004,Dec,295374.44,439992.95,735367.39
2005,Jan,291222.66,446226.13,737448.80
2005,Feb,292227.33,445544.58,737771.91
2005,Mar,296330.22,424857.08,721187.30
2005,Apr,307160.62,424345.69,731506.31
2005,May,304975.65,423476.45,728452.10
2005,Jun,315572.50,433975.65,749548.15
2005,Jul,324027.42,435399.90,759427.32
2005,Aug,325380.53,434850.69,760231.23
2005,Sep,328799.98,418860.33,747660.31
2005,Oct,332725.65,418417.49,751143.14
2005,Nov,333501.48,417897.89,751399.38
2005,Dec,335001.89,408601.92,743603.81
2006,Jan,333950.84,407544.63,741495.47
2006,Feb,338613.23,407132.44,745745.67
2006,Mar,346064.04,407003.71,753067.75
2006,Apr,348220.36,406531.77,754752.13
2006,May,349489.93,406493.69,755983.63
2006,Jun,357838.95,431236.83,789075.78
2006,Jul,364835.71,430667.84,795503.56
2006,Aug,367963.31,431095.63,799058.94
2006,Sep,371591.47,422647.93,794239.41
2006,Oct,375524.02,424414.09,799938.11
2006,Nov,381034.85,424933.07,805967.92
2006,Dec,385121.22,407742.55,792863.77
2007,Jan,378127.61,417467.73,795595.34
2007,Feb,385824.93,416510.41,802335.34
2007,Mar,386287.74,409055.74,795343.48
2007,Apr,390491.89,420265.23,810757.12
2007,May,390795.61,419743.45,810539.06
2007,Jun,404690.11,396564.00,801254.11
2007,Jul,410229.01,410512.75,820741.77
2007,Aug,415915.04,409066.12,824981.16
2007,Sep,426821.36,408680.79,835502.14
2007,Oct,418488.14,419738.84,838226.99
2007,Nov,426062.44,424243.21,850305.66
2007,Dec,438059.11,406923.00,844982.11
2008,Jan,432183.90,424205.02,856388.92
2008,Feb,434621.39,425976.18,860597.57
2008,Mar,444736.37,425086.89,869823.26
2008,Apr,437870.94,425992.78,863863.72
2008,May,442684.75,429644.66,872329.41
2008,Jun,430611.73,439967.00,870578.73
2008,Jul,428148.13,432808.95,860957.07
2008,Aug,433489.36,433670.73,867160.09
2008,Sep,449333.84,432954.02,882287.86
2008,Oct,454685.97,434487.59,889173.56
2008,Nov,451392.10,450248.35,901640.45
2008,Dec,456227.91,516671.33,972899.25
2009,Jan,454266.44,512475.65,966742.10
2009,Feb,478896.43,514635.34,993531.77
2009,Mar,474749.81,513623.00,988372.81
2009,Apr,497450.16,511981.59,1009431.75
2009,May,489234.39,517929.10,1007163.49
2009,Jun,518346.15,535143.70,1053489.84
2009,Jul,530400.97,532144.51,1062545.48
2009,Aug,547182.36,530075.39,1077257.75
2009,Sep,550613.80,524982.60,1075596.40
2009,Oct,567125.13,523899.66,1091024.79
2009,Nov,562926.79,521232.48,1084159.26
2009,Dec,588970.31,588970.31,1177940.63
2010,Jan,580721.47,525552.75,1106274.22
2010,Feb,607512.61,525369.18,1132881.79
2010,Mar,639116.32,538157.99,1177274.31
2010,Apr,653614.42,537424.84,1191039.26
2010,May,650261.96,541976.71,1192238.67
2010,Jun,660267.68,565452.00,1225719.68
2010,Jul,667803.42,562941.95,1230745.37
2010,Aug,698047.35,566166.88,1264214.23
2010,Sep,704702.77,594223.00,1298925.77
2010,Oct,696132.65,598080.46,1294213.11
2010,Nov,711448.98,599251.46,1310700.44
2010,Dec,720207.97,599930.46,1320138.43
2011,Jan,730197.77,615604.98,1345802.75
2011,Feb,746670.28,630400.03,1377070.31
2011,Mar,754048.10,642847.92,1396896.02
2011,Apr,735460.06,652675.73,1388135.79
2011,May,746574.73,675887.12,1422461.85
2011,Jun,764222.80,722888.00,1487110.80
2011,Jul,781713.03,744486.60,1526199.63
2011,Aug,776852.60,768510.85,1545363.45
2011,Sep,764274.59,799834.03,1564108.62
2011,Oct,794565.56,810011.60,1604577.16
2011,Nov,803894.34,728645.25,1532539.59
2011,Dec,799880.06,685607.92,1485487.98
2012,Jan,809278.11,686718.48,1495996.59
2012,Feb,877292.72,663050.00,1540342.72
2012,Mar,887871.40,676330.00,1564201.40
2012,Apr,896036.72,700900.00,1596936.72
2012,May,889056.81,721040.00,1610096.81
2012,Jun,858829.55,763971.00,1622800.55
2012,Jul,872160.52,767390.00,1639550.52
2012,Aug,901934.27,771760.00,1673694.27
2012,Sep,922196.19,802457.33,1724653.52
2012,Oct,929321.62,812307.84,1741629.46
2012,Nov,958438.68,824583.12,1783021.80
2012,Dec,971265.44,821972.82,1793238.26
2013,Jan,978335.91,833609.46,1811945.37
2013,Feb,943750.18,826267.68,1770017.86
2013,Mar,981910.93,812700.17,1794611.10
2013,Apr,1065609.39,816796.56,1882405.95
2013,May,1074797.69,832238.14,1907035.82
2013,Jun,1050628.57,800025.00,1850653.57
2013,Jul,1078604.00,875230.00,1953834.00
2013,Aug,1116676.22,887560.00,2004236.22
2013,Sep,1168115.36,889313.51,2057428.87
2013,Oct,1174782.27,887991.23,2062773.50
2013,Nov,1170053.22,912234.31,2082287.54
2013,Dec,1189182.59,922369.15,2111551.74
2014,Jan,1200901.86,920500.71,2121402.56
2014,Feb,1229416.28,937328.35,2166744.63
2014,Mar,1231183.10,940402.99,2171586.09
2014,Apr,1216759.23,950981.15,2167740.39
2014,May,1232041.55,957893.23,2189934.78
2014,Jun,1284327.25,1138505.00,2422832.25
2014,Jul,1296444.73,1089655.77,2386100.50
2014,Aug,1281093.66,1090984.32,2372077.98
2014,Sep,1260874.56,1087827.67,2348702.23
2014,Oct,1254913.42,1088832.15,2343745.57
2014,Nov,1303363.31,1088951.54,2392314.85
2014,Dec,1307748.71,1170696.28,2478444.99
2015,Jan,1334642.80,1163350.79,2497993.59
2015,Feb,1353302.65,1296748.46,2650051.11
2015,Mar,1397125.72,1278107.87,2675233.59
2015,Apr,1415431.51,1326835.19,2742266.71
2015,May,1407811.19,1381156.98,2788968.18
2015,Jun,1420444.38,1423253.00,2843697.38
2015,Jul,1418568.23,1473143.70,2891711.93
2015,Aug,1403100.20,1530678.61,2933778.82
2015,Sep,1388262.31,1550232.74,2938495.05
2015,Oct,1454245.39,1490713.76,2944959.15
2015,Nov,1516373.47,1562515.56,3078889.04
2015,Dec,1540017.00,1615184.20,3155201.20
2016,Jan,1522769.88,1654744.49,3177514.38
2016,Feb,1605227.98,1646555.21,3251783.19
2016,Mar,1646527.48,1665578.04,3312105.52
2016,Apr,1689039.25,1685269.16,3374308.41
2016,May,1750326.78,1680631.83,3430958.61
2016,Jun,1815470.50,1796198.00,3611668.50
2016,Jul,1808641.64,1797696.38,3606338.02
2016,Aug,1815930.73,1803260.48,3619191.22
2016,Sep,1854554.56,1849019.87,3703574.43
2016,Oct,1872102.82,1844474.95,3716577.78
